,date distributed,doses,date applied,season year,season day,season,extrapolated
0,2018-02-23,155300000.0,2018-03-10,2017,160,2017-18,False
1,2018-02-09,154700000.0,2018-02-24,2017,146,2017-18,False
2,2018-02-02,154300000.0,2018-02-17,2017,139,2017-18,False
3,2018-01-26,154200000.0,2018-02-10,2017,132,2017-18,False
4,2018-01-12,152100000.0,2018-01-27,2017,118,2017-18,False
5,2018-01-05,151500000.0,2018-01-20,2017,111,2017-18,False
6,2017-12-15,150300000.0,2017-12-30,2017,90,2017-18,False
7,2017-12-08,149600000.0,2017-12-23,2017,83,2017-18,False
8,2017-12-01,148500000.0,2017-12-16,2017,76,2017-18,False
9,2017-11-24,148200000.0,2017-12-09,2017,69,2017-18,False
10,2017-10-20,130199999.99999999,2017-11-04,2017,34,2017-18,False
11,2017-10-13,123300000.0,2017-10-28,2017,27,2017-18,False
12,2017-10-06,117200000.0,2017-10-21,2017,20,2017-18,False
13,2017-09-29,104700000.0,2017-10-14,2017,13,2017-18,False
14,2017-09-15,73700000.0,2017-09-30,2017,-1,2017-18,False
15,2017-03-03,145900000.0,2017-03-18,2016,168,2016-17,False
16,2017-02-24,145800000.0,2017-03-11,2016,161,2016-17,False
17,2017-02-17,145700000.0,2017-03-04,2016,154,2016-17,False
18,2017-02-10,145600000.0,2017-02-25,2016,147,2016-17,False
19,2017-02-03,145200000.0,2017-02-18,2016,140,2016-17,False
20,2017-01-27,145000000.0,2017-02-11,2016,133,2016-17,False
21,2017-01-13,144600000.0,2017-01-28,2016,119,2016-17,False
22,2016-12-30,143700000.0,2017-01-14,2016,105,2016-17,False
23,2016-12-16,143200000.0,2016-12-31,2016,91,2016-17,False
24,2016-12-02,142000000.0,2016-12-17,2016,77,2016-17,False
25,2016-11-25,139600000.0,2016-12-10,2016,70,2016-17,False
26,2016-11-11,139000000.0,2016-11-26,2016,56,2016-17,False
27,2016-11-04,136100000.0,2016-11-19,2016,49,2016-17,False
28,2016-10-28,134000000.0,2016-11-12,2016,42,2016-17,False
29,2016-10-21,130300000.00000001,2016-11-05,2016,35,2016-17,False
30,2016-10-14,124500000.0,2016-10-29,2016,28,2016-17,False
31,2016-10-07,116300000.0,2016-10-22,2016,21,2016-17,False
32,2016-09-23,108800000.0,2016-10-08,2016,7,2016-17,False
33,2016-09-16,93200000.0,2016-10-01,2016,0,2016-17,False
34,2016-09-09,69700000.0,2016-09-24,2016,-7,2016-17,False
35,2016-09-02,52700000.0,2016-09-17,2016,-14,2016-17,False
36,2016-02-26,146400000.0,2016-03-12,2015,163,2015-16,False
37,2016-02-19,146400000.0,2016-03-05,2015,156,2015-16,False
38,2016-02-12,146300000.0,2016-02-27,2015,149,2015-16,False
39,2016-02-05,146200000.0,2016-02-20,2015,142,2015-16,False
40,2016-01-29,146000000.0,2016-02-13,2015,135,2015-16,False
41,2016-01-22,145800000.0,2016-02-06,2015,128,2015-16,False
42,2016-01-15,145600000.0,2016-01-30,2015,121,2015-16,False
43,2016-01-08,145400000.0,2016-01-23,2015,114,2015-16,False
44,2016-01-01,144900000.0,2016-01-16,2015,107,2015-16,False
45,2015-12-11,143300000.0,2015-12-26,2015,86,2015-16,False
46,2015-12-04,142000000.0,2015-12-19,2015,79,2015-16,False
47,2015-11-27,140500000.0,2015-12-12,2015,72,2015-16,False
48,2015-11-13,132699999.99999999,2015-11-28,2015,58,2015-16,False
49,2015-11-06,127900000.0,2015-11-21,2015,51,2015-16,False
50,2015-10-30,123700000.0,2015-11-14,2015,44,2015-16,False
