Age,2010,2011,2012,2013,2014,2015,2016,2017
0,3951454,3962971,3926486,3931208,3954725,3984294,3955377,3939295
1,3957695,3966056,3977264,3942441,3948689,3973189,4004017,3975252
2,4090616,3970491,3978648,3991295,3958296,3965536,3990991,4021775
3,4111682,4101643,3981321,3990699,4005424,3973376,3981326,4006755
4,4077326,4121485,4111444,3992298,4003684,4019335,3987866,3995783
5,4064480,4087056,4131048,4121794,4004373,4016658,4032787,4001318
6,4072889,4074516,4096654,4141144,4133300,4016732,4029444,4045532
7,4042967,4082870,4084201,4106863,4152751,4145829,4029700,4042379
8,4025495,4052889,4092669,4094674,4118570,4165408,4158968,4042838
9,4125317,4035461,4062842,4103296,4106389,4131317,4178605,4172171
10,4186959,4135458,4045601,4073237,4115033,4119269,4144625,4191919
11,4115452,4197307,4145939,4056173,4085016,4128022,4132611,4157962
12,4113239,4126020,4208003,4156759,4067899,4097932,4141353,4145953
13,4119585,4124131,4136655,4219019,4169022,4081296,4111886,4155315
14,4145490,4131295,4135424,4148560,4232526,4183831,4096727,4127305
15,4230902,4158739,4143882,4149009,4164225,4249635,4201611,4114560
16,4313090,4247235,4174315,4160427,4167605,4184373,4270670,4222691
17,4376158,4334584,4267964,4195438,4183519,4192344,4210248,4296575
18,4490385,4401461,4359020,4293061,4222786,4213143,4223290,4241226
19,4570789,4518349,4427917,4385466,4322239,4254939,4245565,4256608
20,4568055,4598385,4546920,4453700,4412489,4353486,4286564,4276745
21,4387520,4594545,4630398,4574494,4482033,4445074,4386414,4318304
22,4286502,4413679,4626348,4661047,4605757,4517314,4480595,4420763
23,4216698,4312907,4444658,4656683,4694117,4641661,4553777,4515308
24,4243224,4242863,4343285,4473760,4688618,4729252,4676663,4587515
25,4289018,4268587,4272877,4371120,4503882,4722239,4763194,4708854
26,4160508,4312376,4297039,4299622,4400262,4536357,4754096,4794326
27,4236809,4182321,4338729,4322526,4328101,4432055,4567423,4784135
28,4247376,4257105,4206443,4361578,4348951,4358168,4461130,4595406
29,4210139,4265555,4279311,4228116,4386181,4377349,4385585,4487739
30,4304114,4226341,4285186,4299431,4251419,4412626,4403377,4410631
31,4042424,4318453,4243591,4302255,4319291,4274952,4434930,4425408
32,3967447,4054769,4333504,4258685,4319429,4339718,4294385,4453718
33,3933404,3978681,4067769,4346508,4273924,4337144,4356692,4310977
34,3822120,3943239,3990632,4078962,4359882,4289883,4352115,4371478
35,3948190,3831104,3953998,4000897,4090363,4373944,4303181,4364947
36,3830090,3955372,3840281,3962434,4010887,4102517,4385025,4313987
37,3896623,3836098,3963305,3847788,3971081,4021765,4112091,4394351
38,4080090,3901363,3842912,3969573,3855833,3980639,4030605,4120468
39,4324292,4083814,3906612,3848177,3976512,3864518,3988387,4038244
40,4387318,4325717,4087369,3910240,3853387,3983367,3870893,3994423
41,4163365,4386968,4327314,4089720,3913779,3858785,3987834,3875738
42,4082649,4162181,4386985,4327551,4091708,3917161,3861852,3990700
43,4093719,4080591,4161015,4385208,4327303,4093397,3918537,3863455
44,4178367,4090705,4078611,4158497,4383470,4327295,4093328,3919057
45,4438446,4173540,4087295,4074594,4155383,4381059,4324551,4091579
46,4529607,4431746,4168182,4081816,4070035,4151692,4376488,4320583
47,4535360,4520780,4424250,4161224,4076200,4065383,4146627,4370964
48,4534558,4524448,4511059,4414834,4153395,4069724,4058776,4140010
49,4598974,4521744,4512793,4499442,4404466,4144843,4061192,4050722
