iter,year,data_incidence,data_hospitalizations,data_mortality,data_H1_0,data_H1_5,data_H1_25,data_H1_65,data_H3_0,data_H3_5,data_H3_25,data_H3_65,data_B_0,data_B_5,data_B_25,data_B_65,infectious_period_0,infectious_period_15,proportionHighRisk_0,proportionHighRisk_2,proportionHighRisk_5,proportionHighRisk_19,proportionHighRisk_25,proportionHighRisk_50,proportionHighRisk_65,age_specific_vaccineEfficacyVsInfection_0,age_specific_vaccineEfficacyVsInfection_0.5,age_specific_vaccineEfficacyVsInfection_5,age_specific_vaccineEfficacyVsInfection_18,age_specific_vaccineEfficacyVsInfection_50,vaccineEfficacyVsInfection_all_ages,seasonal_vaccineEfficacy_H1_0,seasonal_vaccineEfficacy_H1_0.5,seasonal_vaccineEfficacy_H1_9,seasonal_vaccineEfficacy_H1_18,seasonal_vaccineEfficacy_H1_50,seasonal_vaccineEfficacy_H1_65,seasonal_vaccineEfficacy_H3_0,seasonal_vaccineEfficacy_H3_0.5,seasonal_vaccineEfficacy_H3_9,seasonal_vaccineEfficacy_H3_18,seasonal_vaccineEfficacy_H3_50,seasonal_vaccineEfficacy_H3_65,seasonal_vaccineEfficacy_B_0,seasonal_vaccineEfficacy_B_0.5,seasonal_vaccineEfficacy_B_9,seasonal_vaccineEfficacy_B_18,seasonal_vaccineEfficacy_B_50,seasonal_vaccineEfficacy_B_65,relative_vaccineEfficacyVsHospitalization_H1_0,relative_vaccineEfficacyVsHospitalization_H1_0.5,relative_vaccineEfficacyVsHospitalization_H1_16,relative_vaccineEfficacyVsHospitalization_H1_65,relative_vaccineEfficacyVsHospitalization_H3_0,relative_vaccineEfficacyVsHospitalization_H3_0.5,relative_vaccineEfficacyVsHospitalization_H3_16,relative_vaccineEfficacyVsHospitalization_H3_65,relative_vaccineEfficacyVsHospitalization_B_0,relative_vaccineEfficacyVsHospitalization_B_0.5,relative_vaccineEfficacyVsHospitalization_B_16,relative_vaccineEfficacyVsHospitalization_B_65,relative_vaccineEfficacyVsDeath_H1_0,relative_vaccineEfficacyVsDeath_H1_0.5,relative_vaccineEfficacyVsDeath_H1_18,relative_vaccineEfficacyVsDeath_H1_65,relative_vaccineEfficacyVsDeath_H3_0,relative_vaccineEfficacyVsDeath_H3_0.5,relative_vaccineEfficacyVsDeath_H3_18,relative_vaccineEfficacyVsDeath_H3_65,relative_vaccineEfficacyVsDeath_B_0,relative_vaccineEfficacyVsDeath_B_0.5,relative_vaccineEfficacyVsDeath_B_18,relative_vaccineEfficacyVsDeath_B_65,relative_highRiskvaccineEfficacyVsDeath_H1_0,relative_highRiskvaccineEfficacyVsDeath_H1_0.5,relative_highRiskvaccineEfficacyVsDeath_H1_18,relative_highRiskvaccineEfficacyVsDeath_H1_65,relative_highRiskvaccineEfficacyVsDeath_H3_0,relative_highRiskvaccineEfficacyVsDeath_H3_0.5,relative_highRiskvaccineEfficacyVsDeath_H3_18,relative_highRiskvaccineEfficacyVsDeath_H3_65,relative_highRiskvaccineEfficacyVsDeath_B_0,relative_highRiskvaccineEfficacyVsDeath_B_0.5,relative_highRiskvaccineEfficacyVsDeath_B_18,relative_highRiskvaccineEfficacyVsDeath_B_65,relative_prob_death_0,relative_prob_death_5,relative_prob_death_18,relative_prob_death_50,relative_prob_death_65,ratio_death_strain_H1_0,ratio_death_strain_H1_5,ratio_death_strain_H1_18,ratio_death_strain_H1_50,ratio_death_strain_H1_65,ratio_death_strain_H1_75,ratio_death_strain_H3_0,ratio_death_strain_H3_5,ratio_death_strain_H3_18,ratio_death_strain_H3_50,ratio_death_strain_H3_65,ratio_death_strain_H3_75,ratio_death_highrisk_H1_0,ratio_death_highrisk_H1_5,ratio_death_highrisk_H1_18,ratio_death_highrisk_H1_50,ratio_death_highrisk_H1_65,ratio_death_highrisk_H1_75,ratio_death_highrisk_H3_0,ratio_death_highrisk_H3_5,ratio_death_highrisk_H3_18,ratio_death_highrisk_H3_50,ratio_death_highrisk_H3_65,ratio_death_highrisk_H3_75,ratio_death_highrisk_B_0,ratio_death_highrisk_B_5,ratio_death_highrisk_B_18,ratio_death_highrisk_B_50,ratio_death_highrisk_B_65,ratio_death_highrisk_B_75,relative_prob_hosp_0,relative_prob_hosp_5,relative_prob_hosp_18,relative_prob_hosp_50,relative_prob_hosp_65,ratio_hosp_highrisk_H1_0,ratio_hosp_highrisk_H1_5,ratio_hosp_highrisk_H1_18,ratio_hosp_highrisk_H1_50,ratio_hosp_highrisk_H1_65,ratio_hosp_highrisk_H1_75,ratio_hosp_highrisk_H3_0,ratio_hosp_highrisk_H3_5,ratio_hosp_highrisk_H3_18,ratio_hosp_highrisk_H3_50,ratio_hosp_highrisk_H3_65,ratio_hosp_highrisk_H3_75,ratio_hosp_highrisk_B_0,ratio_hosp_highrisk_B_5,ratio_hosp_highrisk_B_18,ratio_hosp_highrisk_B_50,ratio_hosp_highrisk_B_65,ratio_hosp_highrisk_B_75,lowRiskhospitalizationRate_H1_0,lowRiskhospitalizationRate_H1_5,lowRiskhospitalizationRate_H1_18,lowRiskhospitalizationRate_H1_50,lowRiskhospitalizationRate_H1_65,lowRiskhospitalizationRate_H1_75,lowRiskhospitalizationRate_H3_0,lowRiskhospitalizationRate_H3_5,lowRiskhospitalizationRate_H3_18,lowRiskhospitalizationRate_H3_50,lowRiskhospitalizationRate_H3_65,lowRiskhospitalizationRate_H3_75,lowRiskhospitalizationRate_B_0,lowRiskhospitalizationRate_B_5,lowRiskhospitalizationRate_B_18,lowRiskhospitalizationRate_B_50,lowRiskhospitalizationRate_B_65,lowRiskhospitalizationRate_B_75,highRiskhospitalizationRate_H1_0,highRiskhospitalizationRate_H1_5,highRiskhospitalizationRate_H1_18,highRiskhospitalizationRate_H1_50,highRiskhospitalizationRate_H1_65,highRiskhospitalizationRate_H1_75,highRiskhospitalizationRate_H3_0,highRiskhospitalizationRate_H3_5,highRiskhospitalizationRate_H3_18,highRiskhospitalizationRate_H3_50,highRiskhospitalizationRate_H3_65,highRiskhospitalizationRate_H3_75,highRiskhospitalizationRate_B_0,highRiskhospitalizationRate_B_5,highRiskhospitalizationRate_B_18,highRiskhospitalizationRate_B_50,highRiskhospitalizationRate_B_65,highRiskhospitalizationRate_B_75,vac_eff_hospitalization,vac_eff_mortality,prob_outpatient_lowrisk_0,prob_outpatient_lowrisk_5,prob_outpatient_lowrisk_18,prob_outpatient_lowrisk_65,prob_outpatient_highrisk_0,prob_outpatient_highrisk_5,prob_outpatient_highrisk_18,prob_outpatient_highrisk_65
0,2017-18,50267346.93,988159.1273,81920.11355,1.769209859,3.268847408,5.192098586,1.859822399,4.927056905,13.56243204,20.35157666,26.0216564,1.309351214,6.098223994,7.801739761,7.837984777,3.819202533,4.38443209,0.040860405,0.088492776,0.114997955,0.12400284,0.155887187,0.313356195,0.47506915,0,0.612499729,0.459402198,0.392923462,0.322757816,0.497403005,0,0.764834582,0.622577403,0.343543138,0.267359802,0.279865886,0,0.392539064,0.092709523,0.12064386,0.094499405,0.212761625,0,0.681727364,0.462655237,0.504137947,0.495513443,0.106746928,0,1,1.992170776,0.821810769,0,1,1.398095277,0.423528715,0,1,0.589642496,0.625510858,0,1,1.42177766,0.265413861,0,1,1.373053395,0.666228735,0,1,1.153062324,0.31866071,0,1,1.253670873,0.451237949,0,1,1.16982087,0.484821234,0,1,2.634456395,0.731737043,1,0.287843087,2.105793105,45.74476687,375.5693962,0.444,0.5882,0.1245,0.0277,0.0016,0,1.333,0.8823,1.5897,2.7944,3.1693,1.4822,0.454545455,0.666666667,1.266666667,12,1,1,0.333333333,0.578947368,1.568047337,3.979423868,5.81292517,2.658998145,0.44,2.777777778,1.294117647,3.046728972,5.945054945,2.997979798,1,0.041646301,0.271714041,0.831175563,4.922434366,0,3.928138922,9.519744797,24.65079874,55.5861504,56.73901528,19.13248578,5.290106186,67.04935888,28.29550235,479.5373768,1006.126786,17.4374209,1.313852787,30.36627418,65.75589553,16.6303149,132.0785333,6.363701707,4.255346604,2.211418006,0.373550793,0,0,39.02713466,6.36098995,7.42967838,7.626530178,30.80473941,131.6136939,59.0144227,11.76225954,3.677186203,6.628409766,9.917797218,41.6226102,0,3.928138922,9.519744797,9.208325425,55.5861504,56.73901528,19.13248578,5.290106186,67.04935888,28.29550235,479.5373768,1006.126786,17.4374209,1.313852787,30.36627418,65.75589553,16.6303149,132.0785333,0,0,0.480159973,0.315267636,0.293849184,0.631518238,0.828387028,0.761331439,0.942733016,0.751578367
1,2017-18,46631482.22,917819.1878,83528.6609,1.769209859,3.268847408,5.192098586,1.859822399,4.927056905,13.56243204,20.35157666,26.0216564,1.309351214,6.098223994,7.801739761,7.837984777,4.703977109,3.929264523,0.046691794,0.092326513,0.119383197,0.129968438,0.155979747,0.302686804,0.469617755,0,0.587296903,0.458100601,0.389747771,0.332061089,0.488827479,0,0.93498103,0.65483408,0.407502961,0.417996675,0.224520407,0,0.512993905,0.175476991,0.123278388,0.299281168,0.139620755,0,0.749669594,0.390744241,0.514658942,0.518191842,0.278032131,0,1,0.618728135,0.668386107,0,1,0.63793602,0.589797075,0,1,0.763410792,0.361007412,0,1,1.644563555,0.254915558,0,1,1.578529164,0.270865476,0,1,1.182188667,0.347631788,0,1,1.265378247,0.466207867,0,1,1.480021411,0.454978049,0,1,2.160577672,0.686808103,1,0.290003282,1.767943041,31.9319572,477.0372601,0.444,0.5882,0.1245,0.0277,0.0016,0,1.333,0.8823,1.5897,2.7944,3.1693,1.4822,0.454545455,0.666666667,1.266666667,12,1,1,0.333333333,0.578947368,1.568047337,3.979423868,5.81292517,2.658998145,0.44,2.777777778,1.294117647,3.046728972,5.945054945,2.997979798,1,0.093515795,0.875579116,1.345460451,2.750244657,0,1.417876754,195.4940969,8.146681212,19.19602758,25.34350619,15.07386438,7.424562114,58.36870553,130.0367832,442.2904265,494.9581591,21.6409622,3.488595185,27.06549171,76.18824039,56.97903612,208.9015696,4.291519506,1.321521313,0.040915553,0.850558916,0,0,62.6162072,7.169908446,9.783881598,6.315481029,33.82133005,174.8608923,26.53104804,7.503284138,5.594636187,7.422321027,14.47785238,47.86974063,0,1.417876754,7.998749022,6.929232343,19.19602758,25.34350619,15.07386438,7.424562114,58.36870553,130.0367832,442.2904265,494.9581591,21.6409622,3.488595185,27.06549171,76.18824039,56.97903612,208.9015696,0,0,0.336158389,0.306589827,0.300239402,0.643742967,0.729840818,0.973414899,0.548926536,0.797066446
2,2017-18,50334536.72,1049564.453,70914.23261,1.769209859,3.268847408,5.192098586,1.859822399,4.927056905,13.56243204,20.35157666,26.0216564,1.309351214,6.098223994,7.801739761,7.837984777,2.706678556,3.698783752,0.041364313,0.086797312,0.122674542,0.118498202,0.155892849,0.314861871,0.475341434,0,0.618131671,0.459697508,0.388067834,0.335656335,0.461750542,0,0.916771247,0.680594493,0.558708617,0.478995749,0.352294833,0,0.347201167,0.123554708,0.055992195,0.146172788,0.140161325,0,0.546430278,0.111377019,0.575747823,0.455913762,0.160623174,0,1,0.755071513,0.995097729,0,1,0.698936947,0.324053406,0,1,0.635460343,0.31285099,0,1,1.350496492,0.357759263,0,1,1.684729031,0.547906702,0,1,0.870292481,0.330062501,0,1,1.026804396,0.55919601,0,1,1.188653082,0.576860424,0,1,1.225830019,1.006049777,1,0.181798231,2.37443561,32.24972614,227.0430936,0.444,0.5882,0.1245,0.0277,0.0016,0,1.333,0.8823,1.5897,2.7944,3.1693,1.4822,0.454545455,0.666666667,1.266666667,12,1,1,0.333333333,0.578947368,1.568047337,3.979423868,5.81292517,2.658998145,0.44,2.777777778,1.294117647,3.046728972,5.945054945,2.997979798,1,0.024518932,0.287281069,1.077839366,3.224886554,0,1.37653675,21.91876621,115.9960943,13.21103129,41.42441473,21.92713419,5.499868143,51.51074826,181.3190573,363.9726208,889.7480412,15.04467634,4.209278792,34.6410727,56.09086981,67.36973006,106.5115485,7.772123364,2.414180909,1.868143005,0.122724125,0,0,69.83052162,9.965811564,9.890876001,23.9549747,50.91475522,33.43776299,76.51162599,10.91382201,9.218747122,4.64127274,11.50400351,40.37802581,0,1.37653675,21.91876621,14.23551921,13.21103129,41.42441473,21.92713419,5.499868143,51.51074826,181.3190573,363.9726208,889.7480412,15.04467634,4.209278792,34.6410727,56.09086981,67.36973006,106.5115485,0,0,0.440121598,0.332671646,0.303588592,0.667337897,0.418033756,0.577901246,0.805719753,0.638999641
3,2017-18,47068840.09,976879.5167,89664.02255,1.769209859,3.268847408,5.192098586,1.859822399,4.927056905,13.56243204,20.35157666,26.0216564,1.309351214,6.098223994,7.801739761,7.837984777,3.58057316,3.905229016,0.047992614,0.083027605,0.120055948,0.11515164,0.157127881,0.307259365,0.461913868,0,0.591273089,0.45277198,0.404218093,0.322486979,0.491053435,0,0.798325732,0.553554965,0.376328275,0.406556391,0.557711308,0,0.582611183,0.224447853,0.141207393,0.307707093,0.374604291,0,0.563570483,0.43602569,0.430694576,0.459981235,0.074283008,0,1,0.468833707,0.738026399,0,1,0.549695359,0.422422678,0,1,0.786286063,0.469404819,0,1,1.541342007,0.376654614,0,1,1.618574795,0.454454733,0,1,1.314444727,0.236251933,0,1,1.084157145,0.497555576,0,1,1.474522436,0.574926929,0,1,1.149695649,1.319735787,1,0.328813082,1.828601125,55.29964946,352.3181413,0.444,0.5882,0.1245,0.0277,0.0016,0,1.333,0.8823,1.5897,2.7944,3.1693,1.4822,0.454545455,0.666666667,1.266666667,12,1,1,0.333333333,0.578947368,1.568047337,3.979423868,5.81292517,2.658998145,0.44,2.777777778,1.294117647,3.046728972,5.945054945,2.997979798,1,0.051065745,0.15099894,2.329044474,2.790633671,0,1.739731696,12.16888008,35.81305722,16.71772407,57.64124351,23.83550613,5.405985007,23.27153642,41.05900086,85.62746565,881.1012071,16.20183099,3.40101285,30.48562134,78.62686844,82.55301334,18.66668988,1.978849232,2.813475962,1.086611876,0.215035185,0,0,28.64027065,7.345329783,6.857395269,7.800154521,20.21986291,142.772939,53.68648919,5.47324413,5.944591348,11.77116126,10.08291033,15.34571009,0,1.739731696,12.16888008,7.701067383,16.71772407,57.64124351,23.83550613,5.405985007,23.27153642,41.05900086,85.62746565,881.1012071,16.20183099,3.40101285,30.48562134,78.62686844,82.55301334,18.66668988,0,0,0.389044096,0.247465086,0.328854213,0.598934049,0.919003364,0.740355115,0.582096751,0.942644184
4,2017-18,50546024.37,961482.8022,94099.66875,1.769209859,3.268847408,5.192098586,1.859822399,4.927056905,13.56243204,20.35157666,26.0216564,1.309351214,6.098223994,7.801739761,7.837984777,4.819022908,4.574068971,0.039081409,0.097425765,0.112621942,0.120684537,0.153239833,0.301161144,0.46816673,0,0.598595375,0.463313149,0.387848965,0.344020436,0.484254568,0,0.796768484,0.760981362,0.522925751,0.263831031,0.134229431,0,0.474210924,0.133830914,0.135148744,0.176522078,0.135164358,0,0.796808569,0.119872012,0.580042643,0.384773395,0.211042411,0,1,0.668568404,0.721997021,0,1,0.884597626,0.415853625,0,1,0.353493241,0.378823665,0,1,1.815015731,0.430285737,0,1,1.190284052,0.519789466,0,1,1.420982508,0.378917684,0,1,1.594739819,0.472486478,0,1,0.940282407,0.504605545,0,1,1.071064581,0.90373814,1,0.221716636,1.532273559,37.62399596,204.9768696,0.444,0.5882,0.1245,0.0277,0.0016,0,1.333,0.8823,1.5897,2.7944,3.1693,1.4822,0.454545455,0.666666667,1.266666667,12,1,1,0.333333333,0.578947368,1.568047337,3.979423868,5.81292517,2.658998145,0.44,2.777777778,1.294117647,3.046728972,5.945054945,2.997979798,1,0.058935787,0.418217136,2.333062251,1.964973024,0,6.01682337,11.41710194,26.72561419,27.81292207,66.85614956,14.20160681,4.803772455,78.74418306,245.4060591,371.9330819,188.0246421,14.03828289,4.245997077,48.27135091,82.28634825,77.61054697,310.2340974,12.15503277,2.606937372,1.255384172,0.725818686,0,0,34.22224344,3.090130901,3.550565743,12.50789971,44.8235145,63.85078341,39.94243836,12.7180957,4.004752159,6.104096032,4.540069318,44.01430537,0,6.01682337,11.41710194,19.39795017,27.81292207,66.85614956,14.20160681,4.803772455,78.74418306,245.4060591,371.9330819,188.0246421,14.03828289,4.245997077,48.27135091,82.28634825,77.61054697,310.2340974,0,0,0.509616665,0.447971425,0.30324463,0.642555459,0.447854809,1.098356901,0.682741456,0.843921693
5,2017-18,49901274.96,927548.5359,80985.71096,1.769209859,3.268847408,5.192098586,1.859822399,4.927056905,13.56243204,20.35157666,26.0216564,1.309351214,6.098223994,7.801739761,7.837984777,4.563276144,3.900502144,0.042297802,0.090404858,0.115476523,0.128168812,0.154646641,0.303786629,0.46929394,0,0.618269978,0.46579288,0.384425886,0.330427887,0.474290091,0,0.855919093,0.692379152,0.299362261,0.257908785,0.441155648,0,0.600883753,0.200198502,0.115122155,0.319661043,0.063037944,0,0.666447394,0.37558844,0.654759444,0.435181958,0.298172751,0,1,0.773496001,1.207212374,0,1,1.148459808,0.524834046,0,1,0.614701995,0.711219004,0,1,1.393375181,0.447598456,0,1,1.078673698,0.509554937,0,1,1.198842748,0.179959553,0,1,1.167451003,0.465302212,0,1,1.101460208,0.510978376,0,1,2.236161641,1.003463731,1,0.285965875,3.746142498,51.06828461,235.2294456,0.444,0.5882,0.1245,0.0277,0.0016,0,1.333,0.8823,1.5897,2.7944,3.1693,1.4822,0.454545455,0.666666667,1.266666667,12,1,1,0.333333333,0.578947368,1.568047337,3.979423868,5.81292517,2.658998145,0.44,2.777777778,1.294117647,3.046728972,5.945054945,2.997979798,1,0.045355777,0.32987909,1.869305508,2.409426607,0,6.113688365,2.758794435,81.18006666,21.03034739,25.22015943,4.931695684,1.355531108,42.24801316,196.7380743,351.5701851,712.7110232,11.99558498,4.520192926,24.933094,65.2046258,43.81764961,150.8693106,6.564716171,5.400274611,1.269628746,0.27132294,0,0,86.4606424,3.887819341,16.51806654,23.94237765,58.33905422,81.79407278,72.36215494,8.824597711,2.033959888,11.86265438,9.086993678,46.04156129,0,6.113688365,2.758794435,22.02601433,21.03034739,25.22015943,4.931695684,1.355531108,42.24801316,196.7380743,351.5701851,712.7110232,11.99558498,4.520192926,24.933094,65.2046258,43.81764961,150.8693106,0,0,0.547526685,0.346301256,0.320789506,0.63240983,0.48191847,0.555159632,0.730846988,0.826686782
6,2017-18,47247978.05,978149.1656,77939.10522,1.769209859,3.268847408,5.192098586,1.859822399,4.927056905,13.56243204,20.35157666,26.0216564,1.309351214,6.098223994,7.801739761,7.837984777,3.651329573,4.094324539,0.043892256,0.086662079,0.10914186,0.121707646,0.156211616,0.305815224,0.466319202,0,0.624318138,0.460472268,0.401591114,0.330497162,0.483082071,0,0.900394562,0.574315657,0.43033346,0.206046329,0.281359357,0,0.604913499,0.211349297,0.103287626,0.278784533,0.121494656,0,0.76531833,0.430770631,0.539021894,0.395437646,0.117671362,0,1,0.780786982,0.565726663,0,1,0.87418514,0.34539117,0,1,0.737490428,0.621089317,0,1,1.250403527,0.408305332,0,1,1.950758452,0.244315212,0,1,1.285372224,0.312316729,0,1,0.802752709,0.534820224,0,1,1.12660886,0.462135367,0,1,2.052496948,1.311433232,1,0.291559403,3.023267677,47.86921808,425.0369121,0.444,0.5882,0.1245,0.0277,0.0016,0,1.333,0.8823,1.5897,2.7944,3.1693,1.4822,0.454545455,0.666666667,1.266666667,12,1,1,0.333333333,0.578947368,1.568047337,3.979423868,5.81292517,2.658998145,0.44,2.777777778,1.294117647,3.046728972,5.945054945,2.997979798,1,0.035583884,0.13452136,0.753849109,2.446280281,0,0.791763019,6.058915544,34.12162658,14.76825088,51.49167991,8.177830515,4.990974464,54.40944635,104.1406181,290.3565887,770.1372271,9.428687873,4.061561729,26.62726505,72.73573477,59.66296971,240.3219063,15.55579114,7.691018212,1.600196544,0.778941005,0,0,48.81976379,12.35198302,16.27643139,21.49836129,31.52612789,88.48540418,5.735673604,5.49375367,7.387899898,5.012302012,6.56802257,43.87629392,0,0.791763019,6.058915544,26.57873409,14.76825088,51.49167991,8.177830515,4.990974464,54.40944635,104.1406181,290.3565887,770.1372271,9.428687873,4.061561729,26.62726505,72.73573477,59.66296971,240.3219063,0,0,0.446730474,0.279224659,0.305678846,0.632006547,0.794465816,0.585393594,0.788193295,0.706613967
7,2017-18,46733750.2,1007754.122,76348.99387,1.769209859,3.268847408,5.192098586,1.859822399,4.927056905,13.56243204,20.35157666,26.0216564,1.309351214,6.098223994,7.801739761,7.837984777,2.465363977,3.309239944,0.041256862,0.090345489,0.111620931,0.117936396,0.156471001,0.307884191,0.464084091,0,0.596006791,0.454460539,0.387216396,0.322085203,0.479824542,0,0.82653383,0.655266817,0.434054961,0.187759129,0.324649355,0,0.55104583,0.022213085,0.212056993,0.318512102,0.327794743,0,0.883251962,0.189773562,0.542575709,0.308250451,0.21386014,0,1,0.714158195,0.835576696,0,1,0.616424116,0.551169241,0,1,0.741759991,0.402285203,0,1,1.248551756,0.361390763,0,1,1.031494678,0.34236683,0,1,1.125471278,0.295076948,0,1,1.572997705,0.461854975,0,1,1.222089873,0.510658833,0,1,1.441106179,0.657732555,1,0.224883656,1.550189896,64.83134752,197.2743477,0.444,0.5882,0.1245,0.0277,0.0016,0,1.333,0.8823,1.5897,2.7944,3.1693,1.4822,0.454545455,0.666666667,1.266666667,12,1,1,0.333333333,0.578947368,1.568047337,3.979423868,5.81292517,2.658998145,0.44,2.777777778,1.294117647,3.046728972,5.945054945,2.997979798,1,0.01350682,0.171768671,1.345416572,3.53180787,0,4.818132269,12.08818186,30.81048727,23.05564816,24.5157705,16.01947456,4.849664075,77.1144756,146.7701187,361.52332,529.0271549,2.253800737,3.202891014,48.41153634,20.65886622,42.75597316,121.9139671,5.798859076,2.632059523,2.390789402,0.945902779,0,0,86.98247841,9.519022674,5.8384905,22.17532079,37.5344145,108.1995612,27.24244293,9.860174761,4.939336145,9.220430362,13.85456922,58.97202112,0,4.818132269,12.08818186,29.14372554,23.05564816,24.5157705,16.01947456,4.849664075,77.1144756,146.7701187,361.52332,529.0271549,2.253800737,3.202891014,48.41153634,20.65886622,42.75597316,121.9139671,0,0,0.379925601,0.368301073,0.328528697,0.625851979,0.776075166,0.728135496,0.550481184,0.829177784
8,2017-18,48459235.61,965604.4593,76453.07255,1.769209859,3.268847408,5.192098586,1.859822399,4.927056905,13.56243204,20.35157666,26.0216564,1.309351214,6.098223994,7.801739761,7.837984777,3.489009874,4.253667724,0.044473144,0.09114652,0.121444861,0.123123619,0.156054284,0.315554884,0.469309341,0,0.612839294,0.473446683,0.392487929,0.327585139,0.490163272,0,0.891645649,0.494428591,0.459478272,0.288837653,0.316002223,0,0.543156549,0.114383691,0.177170133,0.270261473,0.066043585,0,0.709031156,0.263214676,0.498427069,0.441714679,0.292539958,0,1,0.676656957,0.889439657,0,1,1.031421703,0.438102714,0,1,0.599727044,0.23501008,0,1,1.6803666,0.444846495,0,1,1.287889792,0.395857704,0,1,0.986672216,0.252467525,0,1,1.039943193,0.385451872,0,1,0.737528752,0.622677928,0,1,2.334722348,0.690599484,1,0.187381972,2.448795643,52.9206246,292.2850627,0.444,0.5882,0.1245,0.0277,0.0016,0,1.333,0.8823,1.5897,2.7944,3.1693,1.4822,0.454545455,0.666666667,1.266666667,12,1,1,0.333333333,0.578947368,1.568047337,3.979423868,5.81292517,2.658998145,0.44,2.777777778,1.294117647,3.046728972,5.945054945,2.997979798,1,0.077699542,0.189349788,1.890426773,4.509447207,0,5.62310568,19.85463467,12.45672574,24.68550854,38.05593269,14.29528665,4.203148028,50.77581622,207.7889151,433.379951,128.4767259,22.83909055,2.580939386,36.35276247,27.29563678,70.67338788,176.5323193,13.80233079,4.677604789,1.605176967,0.447595586,0,0,48.87579931,8.059249717,6.324821628,24.84543086,49.72113186,72.24288792,56.40932046,2.977113089,7.785716229,9.479323545,8.873653494,77.29700012,0,5.62310568,19.85463467,5.575575458,24.68550854,38.05593269,14.29528665,4.203148028,50.77581622,207.7889151,433.379951,128.4767259,22.83909055,2.580939386,36.35276247,27.29563678,70.67338788,176.5323193,0,0,0.476629493,0.243874599,0.3112095,0.633034605,0.797659134,0.300589256,0.559437647,0.794766018
9,2017-18,49516597.49,1044742.876,74174.02725,1.769209859,3.268847408,5.192098586,1.859822399,4.927056905,13.56243204,20.35157666,26.0216564,1.309351214,6.098223994,7.801739761,7.837984777,2.968766914,3.794408316,0.039566048,0.085960258,0.118544991,0.129047442,0.156281559,0.317713715,0.472905648,0,0.600705395,0.446592539,0.382662731,0.318468323,0.497022889,0,0.832541946,0.639850412,0.368742463,0.233367613,0.529554516,0,0.501296223,0.222883082,0.112568108,0.243038151,0.058066486,0,0.677039253,0.300466562,0.49500319,0.529289919,0.120417499,0,1,0.630179506,1.363318527,0,1,0.750685582,0.560795763,0,1,0.642806732,0.355782009,0,1,1.272553912,0.292267511,0,1,1.632085192,0.499274441,0,1,1.169463112,0.293510857,0,1,0.973641119,0.499650827,0,1,1.651768006,0.580643801,0,1,2.772079785,0.712389921,1,0.244212764,3.126402775,41.05217939,208.5237691,0.444,0.5882,0.1245,0.0277,0.0016,0,1.333,0.8823,1.5897,2.7944,3.1693,1.4822,0.454545455,0.666666667,1.266666667,12,1,1,0.333333333,0.578947368,1.568047337,3.979423868,5.81292517,2.658998145,0.44,2.777777778,1.294117647,3.046728972,5.945054945,2.997979798,1,0.026793619,0.220332183,2.024996297,3.588652058,0,3.058451566,26.60845126,10.99891985,37.89581779,38.07214289,8.496456512,6.189462175,58.37686673,269.1163936,120.1820301,850.2668977,10.54537542,3.056680423,27.53617378,39.31009975,45.23436234,161.8144132,15.29518802,2.856861335,0.220096242,0.547253679,0,0,9.916859173,9.789656061,9.872760238,22.97836432,53.39684371,53.59237944,34.24197388,9.916458853,5.799281877,12.62747885,2.991118299,42.70719264,0,3.058451566,5.856420116,6.019199358,37.89581779,38.07214289,8.496456512,6.189462175,58.37686673,269.1163936,120.1820301,850.2668977,10.54537542,3.056680423,27.53617378,39.31009975,45.23436234,161.8144132,0,0,0.508025781,0.34158136,0.337128354,0.628779918,1.082892404,0.462427126,0.689354892,0.897181213
