Subtype,Age group,Mean,Low 95% CI,High 95% CI
Any,Any,48,43,55
Any,0.5-8,51,33,64
Any,9-17,59,36,74
Any,18-49,52,39,61
Any,50-64,26,2,44
Any,65+,42,6,64
H1N1,Any,45,34,53
H1N1,0.5-8,49,26,65
H1N1,9-17,63,22,82
H1N1,18-49,46,29,59
H1N1,50-64,10,-26,36
H1N1,65+,66,36,81
H3N2,Any,43,4,66
H3N2,0.5-8,90,14,99
H3N2,9-17,90,14,99
H3N2,18-49,25,-31,57
H3N2,50-64,25,-31,57
H3N2,65+,25,-31,57
B,Any,55,44,64
B,0.5-8,50,17,70
B,9-17,53,19,72
B,18-49,68,51,79
B,50-64,48,14,69
B,65+,34,-236,47
